age	{age:14298, american:671, april:374, area:393, both:381, century:523, city:2778, county:1673, december:305, early:832, film:289, first:1306, high:486, history:953, including:3126, january:316, john:471, july:303, june:300, known:588, life:742, made:3380, march:320, national:444, news:290, north:344, november:277, october:334, org:408, part:473, people:1354, population:6415, press:400, school:889, september:281, south:281, state:465, states:394, three:550, through:462, time:961, town:1466, two:1976, united:418, university:585, war:414, world:722, year:857, years:13070, york:469}
american	{age:671, american:28696, april:1447, area:678, both:931, century:1108, city:2477, county:1388, december:1295, early:1194, film:2761, first:3290, high:838, history:2299, including:1168, january:1538, john:2666, july:1258, june:1408, known:1471, life:1289, made:1037, march:1386, national:1970, news:915, north:1868, november:1144, october:1283, org:1618, part:913, people:4956, population:2700, press:1576, school:971, september:1344, south:1385, state:1393, states:3087, three:934, through:862, time:1758, town:981, two:4559, united:3207, university:2494, war:3148, world:2133, year:1216, years:1301, york:2698}
april	{age:374, american:1447, april:8486, area:503, both:775, century:465, city:1351, county:639, december:1616, early:789, film:710, first:2580, high:738, history:1184, including:815, january:1719, john:1032, july:1780, june:1969, known:860, life:785, made:912, march:2772, national:1203, news:2527, north:637, november:1532, october:1723, org:1878, part:886, people:1235, population:434, press:853, school:703, september:1654, south:705, state:961, states:957, three:885, through:745, time:1585, town:509, two:1755, united:1330, university:1161, war:1155, world:1543, year:1253, years:1101, york:1225}
area	{age:393, american:678, april:503, area:6908, both:829, century:1007, city:4518, county:3272, december:431, early:847, film:215, first:1791, high:1034, history:1446, including:960, january:505, john:456, july:479, june:449, known:1455, life:371, made:753, march:534, national:1280, news:399, north:2119, november:399, october:411, org:628, part:2043, people:1643, population:1986, press:285, school:954, september:497, south:1888, state:1322, states:2048, three:885, through:1174, time:1113, town:2172, two:1741, united:1468, university:716, war:863, world:937, year:681, years:932, york:523}
both	{age:381, american:931, april:775, area:829, both:3320, century:994, city:1182, county:459, december:596, early:1135, film:773, first:3283, high:1278, history:1186, including:1265, january:699, john:868, july:675, june:650, known:1520, life:1147, made:1514, march:749, national:1033, news:755, north:785, november:678, october:675, org:825, part:1269, people:1209, population:379, press:649, school:762, september:750, south:824, state:1221, states:1078, three:1498, through:1600, time:2578, town:516, two:4104, united:1025, university:959, war:1330, world:1672, year:1166, years:1395, york:728}
century	{age:523, american:1108, april:465, area:1007, both:994, century:7564, city:1729, county:439, december:386, early:3171, film:353, first:3528, high:569, history:2435, including:916, january:457, john:1247, july:374, june:380, known:1728, life:919, made:1212, march:524, national:674, news:260, north:901, november:309, october:371, org:602, part:1329, people:1835, population:701, press:991, school:570, september:396, south:870, state:929, states:837, three:842, through:1066, time:1761, town:1155, two:1565, united:686, university:1175, war:1219, world:1468, year:778, years:1126, york:719}
city	{age:2778, american:2477, april:1351, area:4518, both:1182, century:1729, city:25648, county:5521, december:1103, early:1136, film:709, first:3395, high:1310, history:2599, including:1947, january:1320, john:1227, july:1199, june:1156, known:1757, life:915, made:1104, march:1321, national:1984, news:1398, north:2769, november:1204, october:1204, org:1320, part:2127, people:3537, population:5453, press:878, school:1969, september:1324, south:2688, state:3177, states:3086, three:1381, through:1523, time:1915, town:2751, two:2799, united:3674, university:2067, war:1517, world:2146, year:1771, years:2665, york:4594}
county	{age:1673, american:1388, april:639, area:3272, both:459, century:439, city:5521, county:40440, december:623, early:552, film:124, first:1307, high:672, history:2049, including:803, january:635, john:879, july:544, june:527, known:542, life:291, made:345, march:667, national:1691, news:526, north:3153, november:566, october:405, org:1021, part:1596, people:1884, population:3273, press:237, school:1853, september:455, south:2628, state:4446, states:3304, three:632, through:739, time:595, town:4028, two:1157, united:3230, university:909, war:1189, world:351, year:776, years:1067, york:1556}
december	{age:305, american:1295, april:1616, area:431, both:596, century:386, city:1103, county:623, december:7092, early:697, film:764, first:2265, high:546, history:973, including:662, january:2249, john:1023, july:1504, june:1495, known:711, life:699, made:758, march:1824, national:1028, news:2098, north:581, november:2057, october:1780, org:1503, part:691, people:966, population:343, press:716, school:520, september:1492, south:636, state:967, states:889, three:785, through:684, time:1391, town:309, two:1460, united:1217, university:770, war:940, world:1258, year:1212, years:958, york:1091}
early	{age:832, american:1194, april:789, area:847, both:1135, century:3171, city:1136, county:552, december:697, early:3300, film:711, first:3624, high:883, history:2276, including:1139, january:745, john:1127, july:718, june:697, known:1797, life:2147, made:1297, march:803, national:755, news:560, north:725, november:669, october:685, org:760, part:1227, people:934, population:374, press:822, school:843, september:682, south:704, state:857, states:819, three:1075, through:1114, time:2175, town:703, two:2120, united:797, university:1111, war:1233, world:1365, year:1076, years:1982, york:971}
